Country,Population,Area in sq km,Population Density per sq km
Solomon Islands,622469.0,28896.0,21.54170127353267
Zambia,15066266.0,752618.0,20.01847683685482
Sudan,36108853.0,1861484.0,19.397885235650698
Bhutan,741919.0,38394.0,19.3238266395791
Uruguay,3341893.0,176215.0,18.96486110717022
South Sudan,12042910.0,644329.0,18.690622337346294
Paraguay,6783272.0,406752.0,16.67667768074896
Somalia,10616380.0,637657.0,16.649044862676956
Algeria,39542166.0,2381741.0,16.602210735760103
New Zealand,4438393.0,267710.0,16.57910798998917
Finland,5476922.0,338145.0,16.196962841384615
Norway,5207689.0,323802.0,16.082942662491277
Angola,19625353.0,1246700.0,15.741840859870058
Argentina,43431886.0,2780400.0,15.620732988059272
Belize,347369.0,22966.0,15.125359226682923
New Caledonia,271615.0,18575.0,14.622611036339165
Papua New Guinea,6672429.0,462840.0,14.416275602800104
Niger,18045729.0,1267000.0,14.242880031570639
"Congo, Republic of the",4755097.0,342000.0,13.903792397660819
Mali,16955536.0,1240192.0,13.671702446072866
Saudi Arabia,27752316.0,2149690.0,12.909915383148268
Christmas Island,1530.0,135.0,11.333333333333334
Turkmenistan,5231422.0,488100.0,10.717930751895103
Oman,3286936.0,309500.0,10.620148626817448
Bolivia,10800882.0,1098581.0,9.831666486130745
Chad,11631456.0,1284000.0,9.058766355140188
Central African Republic,5391539.0,622984.0,8.654377961552784
Russia,142423773.0,17098242.0,8.329731968935754
Kazakhstan,18157122.0,2724900.0,6.6634085654519435
Gabon,1705336.0,267667.0,6.371110372216224
Niue,1190.0,260.0,4.576923076923077
Botswana,2182719.0,581730.0,3.752116961476974
Libya,6411776.0,1759540.0,3.644006956363595
Suriname,579633.0,163820.0,3.5382309852276888
Canada,35099836.0,9984670.0,3.515372666297434
Mauritania,3596702.0,1030700.0,3.4895721354419327
Guyana,735222.0,214969.0,3.4201303443752353
Iceland,331918.0,103000.0,3.222504854368932
Australia,22751014.0,7741220.0,2.9389442490976876
Namibia,2212307.0,824292.0,2.6838875058838374
Western Sahara,570866.0,266000.0,2.146112781954887
Mongolia,2992908.0,1564116.0,1.9134821202519505
Pitcairn Islands,48.0,47.0,1.0212765957446808
Falkland Islands (Islas Malvinas),3361.0,12173.0,0.2761028505709357
Svalbard,1872.0,62045.0,0.030171649609154645
Greenland,57733.0,2166086.0,0.026653143042335344
